password_reuse,password_strength,password_change_freq,mfa_usage,click_unknown_links,verify_sender,report_suspicious_email,past_phishing_victim,training_completion,training_engagement,device_type,public_wifi_usage,unknown_usb_usage,social_media_oversharing,screen_lock_habit,credential_sharing,department,risk_level
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,"Yes, likely",Sometimes,Ignore it,More than once,Never,Attend but forget,Company-issued & managed,Rarely,"Yes, if it looks harmless",Frequently,Always,Once,IT,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Sometimes,Open it to check,Once,Never,"Very seriously, apply what I learn",Shared/public device,Never,Only after scanning it,Never,Always,Never,Operations,Low
Never,Medium (word + numbers),Never,Sometimes,"Yes, likely",Always,Delete it,,Never,Skip when possible,Shared/public device,,Never,Occasionally,Sometimes,Once,Other,Moderate
Always,Medium (word + numbers),Never,Sometimes,"Yes, likely",Always,Delete it,Once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Once,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Sales & Marketing,Low
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,,Never,Always,Never,Operations,Low
Sometimes,Simple (name/birthdate/common word),Never,Sometimes,Rarely,Sometimes,Report to IT/Security,Never,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Rarely,Never,Occasionally,Sometimes,Occasionally,Finance,Moderate
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,"Yes, likely",Always,Ignore it,More than once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Never,Occasionally,Sometimes,Occasionally,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Always,Ignore it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,,Only after scanning it,Occasionally,Sometimes,Once,Other,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Sometimes,Never,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Frequently,Always,Once,Sales & Marketing,Moderate
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Never,Ignore it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Other,High
Always,Medium (word + numbers),Every 6-12 months,Never,Rarely,Sometimes,Open it to check,More than once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Never,Simple (name/birthdate/common word),Every 1-3 months,Always,Never,Never,Delete it,More than once,Never,Attend but forget,Shared/public device,Never,Only after scanning it,Never,Sometimes,Occasionally,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Sometimes,Rarely,Always,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Finance,High
Never,"Long & random (12+ chars, mixed)",Never,Never,Sometimes,Never,,More than once,Never,Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Never,IT,High
Always,"Long & random (12+ chars, mixed)",Never,Always,Sometimes,Always,Delete it,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Never,Never,Always,Never,Operations,Moderate
Always,Simple (name/birthdate/common word),Never,Sometimes,Sometimes,Always,Open it to check,Once,Never,Attend but forget,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Occasionally,Never,Never,Other,High
Never,Medium (word + numbers),Never,Always,Never,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Always,Never,Sales & Marketing,Low
Never,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Always,Open it to check,Never,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Sales & Marketing,High
Always,"Long & random (12+ chars, mixed)",Rarely,Never,"Yes, likely",Always,Ignore it,Never,Never,Attend but forget,Company-issued & managed,Frequently,Never,Frequently,Never,Occasionally,Sales & Marketing,Moderate
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Always,Sometimes,Never,Delete it,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Finance,Moderate
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Sometimes,Report to IT/Security,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,Operations,Severe
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,"Yes, likely",Never,Report to IT/Security,Once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Frequently,Never,Frequently,Sometimes,Once,Finance,High
Never,Medium (word + numbers),Every 6-12 months,Sometimes,Rarely,Sometimes,Open it to check,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Frequently,Always,Never,Operations,Moderate
Always,Medium (word + numbers),Every 1-3 months,Always,Never,Sometimes,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Always,Never,IT,Low
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Rarely,,Occasionally,Always,Once,Other,Moderate
Always,Medium (word + numbers),Every 6-12 months,Sometimes,Sometimes,Never,Ignore it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,"Yes, if it looks harmless",Frequently,Never,Never,HR,Moderate
Always,"Long & random (12+ chars, mixed)",Never,Always,"Yes, likely",Always,Open it to check,Never,Never,"Very seriously, apply what I learn",Shared/public device,Frequently,Only after scanning it,Frequently,Sometimes,Occasionally,Sales & Marketing,Moderate
Always,Medium (word + numbers),Never,Never,Never,Never,Ignore it,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Never,Never,Frequently,Never,Never,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Sales & Marketing,Severe
Often,Simple (name/birthdate/common word),Every 6-12 months,Always,"Yes, likely",Sometimes,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Never,Sometimes,Never,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Report to IT/Security,Once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Always,Occasionally,Sales & Marketing,Low
,Medium (word + numbers),Rarely,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Never,Frequently,Never,Never,Other,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Sometimes,Sometimes,Delete it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Frequently,Sometimes,Occasionally,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Never,Never,Never,Delete it,Once,Never,Attend but forget,Shared/public device,Rarely,Only after scanning it,Occasionally,Never,Occasionally,Sales & Marketing,Severe
Always,Medium (word + numbers),Every 1-3 months,Never,Never,Always,Report to IT/Security,Once,Never,Attend but forget,Shared/public device,Rarely,Never,Occasionally,Always,Occasionally,Operations,High
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,"Yes, likely",Always,Ignore it,Once,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Only after scanning it,Frequently,Never,Once,Operations,High
Sometimes,Medium (word + numbers),Every 6-12 months,Always,Never,Always,Report to IT/Security,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Never,Always,Once,IT,Low
Never,Medium (word + numbers),Rarely,Sometimes,Sometimes,Sometimes,Open it to check,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,"Yes, if it looks harmless",Frequently,,Once,Finance,Moderate
Always,Simple (name/birthdate/common word),Every 1-3 months,Always,Never,Never,Open it to check,Once,Never,Skip when possible,Personal device (BYOD),Never,Only after scanning it,Frequently,Sometimes,Once,Other,Moderate
Often,Medium (word + numbers),Every 6-12 months,Sometimes,"Yes, likely",Never,Report to IT/Security,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Once,Sales & Marketing,Moderate
Always,Medium (word + numbers),Every 1-3 months,Sometimes,Rarely,Always,Report to IT/Security,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Never,Never,Once,Operations,Low
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Rarely,Sometimes,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Occasionally,Never,Never,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Always,,Sometimes,Ignore it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Frequently,Never,Never,Other,Low
Often,Medium (word + numbers),Rarely,Sometimes,Sometimes,Never,Report to IT/Security,Never,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Frequently,Never,Frequently,Sometimes,Never,HR,High
Often,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Never,Open it to check,More than once,Never,Attend but forget,Personal device (BYOD),Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,Sales & Marketing,High
Always,Simple (name/birthdate/common word),Never,Always,"Yes, likely",Always,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Never,Never,Frequently,Always,Occasionally,Finance,Moderate
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,Once,Never,Skip when possible,Shared/public device,Rarely,Only after scanning it,Frequently,Never,Occasionally,Other,Severe
Always,"Long & random (12+ chars, mixed)",Rarely,Never,Sometimes,Sometimes,Ignore it,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,IT,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Sometimes,Never,Open it to check,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Frequently,Always,Once,Other,Moderate
Often,Medium (word + numbers),Never,Never,"Yes, likely",Never,Report to IT/Security,Once,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Never,Once,Sales & Marketing,High
Often,Simple (name/birthdate/common word),Rarely,Always,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Occasionally,Always,Once,Other,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Never,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Never,HR,Low
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Sometimes,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Shared/public device,Never,"Yes, if it looks harmless",Never,Sometimes,Never,Sales & Marketing,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,,Never,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Occasionally,Always,,Sales & Marketing,Low
Never,Medium (word + numbers),Every 1-3 months,Never,Never,Sometimes,Delete it,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Always,Never,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Ignore it,,"Yes, but over a year ago",Skip when possible,Shared/public device,Rarely,"Yes, if it looks harmless",Frequently,Never,Occasionally,Other,Severe
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,,Report to IT/Security,Once,Never,Attend but forget,Personal device (BYOD),Rarely,Never,Frequently,Always,Once,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Every 1-3 months,Always,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Sales & Marketing,High
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Sometimes,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Other,Low
Always,Medium (word + numbers),Every 1-3 months,Sometimes,Rarely,Sometimes,Report to IT/Security,More than once,"Yes, but over a year ago",Attend but forget,Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Always,Occasionally,HR,Moderate
,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Delete it,,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Only after scanning it,Never,Never,Never,HR,High
Never,,Every 6-12 months,Never,"Yes, likely",Sometimes,Report to IT/Security,More than once,Never,Attend but forget,Shared/public device,Rarely,Never,Frequently,,Once,IT,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Sometimes,,Never,Open it to check,Once,Never,Skip when possible,Shared/public device,Frequently,Only after scanning it,Occasionally,Never,Occasionally,Operations,High
Often,"Long & random (12+ chars, mixed)",Never,Never,Rarely,Never,Delete it,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Other,High
Always,Simple (name/birthdate/common word),Rarely,Always,Never,Always,Delete it,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Rarely,Never,Frequently,Always,Never,Sales & Marketing,Low
Always,Medium (word + numbers),Every 1-3 months,Sometimes,Never,Sometimes,Ignore it,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Never,Never,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Never,Always,Sometimes,Never,Delete it,Once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Never,Operations,High
